id,Amount,Created (UTC),Currency,Arrival Date (UTC),Source Type,Status,Type,Method,Balance Transaction,Destination Name,Destination Country,Destination Last 4
po_1TOfx3CJ0ljLmnCvbv7v5otK,800.00,2026-04-21 15:11,usd,2026-04-21 00:00,card,paid,bank_account,standard,txn_1TOfx3CJ0ljLmnCv2eCT3vfl,COLUMN NA MERCURY,US,3905
po_1TFz83CJ0ljLmnCvO7c2BmqJ,400.00,2026-03-28 15:50,usd,2026-03-30 00:00,card,paid,bank_account,standard,txn_1TFz84CJ0ljLmnCvBxcJuAtq,COLUMN NA MERCURY,US,3905
po_1T6d6JCJ0ljLmnCvujQCLUUu,700.00,2026-03-02 20:29,usd,2026-03-03 00:00,card,paid,bank_account,standard,txn_1T6d6KCJ0ljLmnCv2yMZGmEw,COLUMN NA MERCURY,US,3905
po_1T2bmuCJ0ljLmnCv4dHjW74D,1000.00,2026-02-19 18:17,usd,2026-02-19 00:00,card,paid,bank_account,standard,txn_1T2bmuCJ0ljLmnCvT0Dwjj2n,COLUMN NA MERCURY,US,3905
po_1StrAMCJ0ljLmnCvhC2Q8Gpd,375.00,2026-01-26 14:53,usd,2026-01-26 00:00,card,paid,bank_account,standard,txn_1StrANCJ0ljLmnCvgXkt4CKU,COLUMN NA MERCURY,US,3905
po_1StBGZCJ0ljLmnCvsxFdeCbf,1500.00,2026-01-24 18:08,usd,2026-01-26 00:00,card,paid,bank_account,standard,txn_1StBGZCJ0ljLmnCvxvFgwj22,COLUMN NA MERCURY,US,3905
po_1Sdy2KCJ0ljLmnCvX9r5p43M,480.00,2025-12-13 18:59,usd,2025-12-15 00:00,card,paid,bank_account,standard,txn_1Sdy2KCJ0ljLmnCvFD1bTxRQ,COLUMN NA MERCURY,US,3905
po_1SXjJSCJ0ljLmnCv5UAssQR7,150.00,2025-11-26 14:03,usd,2025-11-26 00:00,card,paid,bank_account,standard,txn_1SXjJSCJ0ljLmnCvoRj5KgOi,COLUMN NA MERCURY,US,3905
po_1SWiRlCJ0ljLmnCvosByRo23,350.00,2025-11-23 18:55,usd,2025-11-24 00:00,card,paid,bank_account,standard,txn_1SWiRlCJ0ljLmnCvIgqUtFci,COLUMN NA MERCURY,US,3905
po_1SPiWJCJ0ljLmnCvj7Zh7nHM,500.00,2025-11-04 11:35,usd,2025-11-04 00:00,card,paid,bank_account,standard,txn_1SPiWJCJ0ljLmnCvYMEjUJw3,COLUMN NA MERCURY,US,3905
