priority,market,language,cluster,keywords,monthly_volume_signal,cpc_signal_usd,landing_status,recommended_landing,decision,budget_test_cop_day,notes
P1,current,Mexico,es,Multidestino packages,"viajes a colombia; viaje a colombia desde mexico; viaje a colombia todo incluido; paquetes a colombia","9900;1300;1300;1000","0.54-1.32",ready,/agencia-de-viajes-a-colombia-para-mexicanos,optimize_current,85000,"Current campaign has live signal; scale only after CRM quality confirms."
P1,current,Spain,es,Organized premium Colombia,"viajes a colombia; viaje a colombia desde espana; viajes organizados a colombia","3600;720;260","0.51-2.18",ready,/agencia-de-viajes-a-colombia-para-espanoles,optimize_current,40000,"Good live quality signal; watch CPC and local agency noise."
P1,new,Brazil,pt-BR,Colombia packages,"viagem colombia; pacotes colombia; pacote viagem colombia; cartagena colombia pacote","2400;1000;390;320","0.31-0.48",needs_landing,/pt/pacotes-colombia,build_then_test,50000-80000,"Best non-Spanish LATAM expansion candidate by commercial demand and CPC."
P1,new,France,fr,Custom and organized Colombia,"voyage colombie; circuit colombie; voyage organise colombie; voyage sur mesure colombie","3600;720;260;140","3.00-12.42",needs_landing,/fr/voyage-colombie-sur-mesure,build_then_test,60000-100000,"Premium/high-intent market; requires French copy and sales handoff."
P2,current,United States,en,Packages and premium,"colombia travel packages; colombia vacation packages; colombia tour packages; cartagena colombia packages","720;720;720;480","3.01-3.60",ready_needs_qa,/en/colombia-travel-packages,exact_only_microtest,80000,"Prior traffic was polluted; no broad match."
P2,new,Germany,de,Rundreise and structured tours,"kolumbien urlaub; kolumbien reisen; kolumbien rundreise","1300;1000;720","1.25-4.04",needs_landing,/de/kolumbien-rundreise,build_then_test,60000-100000,"Good structured-tour demand; needs German landing and trust proof."
P2,new,Argentina,es,Colombia packages from Argentina,"paquetes a colombia; viajes a colombia; viaje a colombia desde argentina","1300;1300;480","0.32-0.39",needs_landing,/viajes-a-colombia-desde-argentina,build_then_test,30000-50000,"Low CPC and good volume; qualify budget and purchase intent."
P2,current,Chile,es,Colombia and San Andres packages,"paquetes a colombia; paquetes a san andres colombia; viaje a colombia desde chile","1000;720;480","0.56-0.97",ready,/viajes-a-colombia-desde-chile,controlled_test,30000-50000,"Useful low-budget validation; not enough to drive 10 leads/day alone."
P3,new,Italy,it,Organized Colombia trip,"viaggio colombia; tour colombia; viaggio organizzato colombia","1000;320;210","1.34-2.18",needs_landing,/it/viaggio-organizzato-colombia,build_later,30000-50000,"Smaller than France/Germany but clear organized-trip angle."
P3,new,Uruguay,es,Colombia packages from Uruguay,"viaje a colombia desde uruguay; paquetes a colombia; paquetes a colombia desde uruguay","170;170;140","0.21-0.31",needs_landing,/viajes-a-colombia-desde-uruguay,small_test_later,20000-40000,"Small but unusually commercial search pattern."
P3,defer,Canada,en,Colombia packages,"colombia travel packages; colombia vacation packages; colombia tour packages","260;260;260","1.77",reuse_possible,/en/colombia-travel-packages,defer,0,"Wait for USA lead quality before separate Canada campaign."
P3,defer,United Kingdom,en,Private/luxury packages,"colombia travel packages; colombia private tours; colombia luxury travel","210;20;10","3.20-16.79",reuse_possible,/en/colombia-travel-packages,seo_first,0,"Premium niche but low volume; consider SEO/remarketing first."
P3,defer,Australia,en,Colombia packages,"colombia travel packages; colombia vacation packages; colombia tour packages","110;110;110","2.30",reuse_possible,/en/colombia-travel-packages,defer,0,"Too small and far for immediate paid test."
watch,defer,Peru,es,Colombia packages,"viajes a colombia; viaje a colombia desde peru; paquetes a colombia","1000;320;260","0.39-0.54",generic_spanish,none,defer,0,"Weaker than Argentina/Chile/Mexico; monitor organic."
watch,defer,Ecuador,es,Colombia travel,"viajes a colombia; viaje a colombia desde ecuador","320;260","0.22-0.38",generic_spanish,none,defer,0,"Low commercial depth."
watch,defer,Panama,es,Colombia travel,"viajes a colombia","320","0.29",generic_spanish,none,defer,0,"Too small for paid now."
watch,defer,Costa Rica,es,Colombia travel,"viajes a colombia; viaje a colombia desde costa rica","590;390","0.29-0.37",generic_spanish,none,defer,0,"Mostly informational."
P2,product_gap,Global,en/es/fr/de,Santander San Gil Barichara,"barichara colombia; san gil colombia; santander colombia tours","high_discovery","varies",needs_product_landing,/santander-san-gil-barichara,seo_then_paid,0,"High discovery volume but not package-ready; build product page before paid."
